happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,No one,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a week,Every day,A few times a week,Never (Vol.),Some,More of an individual problem,Minor role,Major role,Minor role,Major role,Both equally/It depends (Vol.),Major reason,Minor reason,Not a reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Better,Equally satisfied,More satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Just a few,Yes,About once a week,No, ,No, ,Sometimes,Often,Often,Often,Lonely,2,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Less than that,Less than that,A few times a year,A few times a year,A few times a month,A few times a week,Only a little,More of an individual problem,Minor role,Minor role,Major role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Minor reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Easier,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Three to five years,No impact,Very negative,Somewhat negative,Very negative,Rarely,Never,Never,Almost always,Sometimes,Almost always,Sometimes,Never,Never,Sometimes,No, , , , , , ,Minor reason,Not a reason,Not a reason,Not a reason,Minor reason,Not a reason,No,Yes
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,Yes,Several times a week,Declined to answer, ,Never,Never,Never,Never,Not Lonely,2,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,5,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,Never (Vol.),A few times a week,A few times a week,Never (Vol.),A lot,More of an individual problem,Minor role,Minor role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Minor reason,No,No, , , , , , , ,"Yes, would recommend",Not sure, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,Yes,Once or twice a month,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,2,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a month,A few times a week,A few times a month,A few times a month,Only a little,More of an individual problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Major reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,No one,Yes,Several times a week,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a month,Every day,Never (Vol.),Every day,Every day,Never (Vol.),Nothing at all,More of an individual problem,No role at all,Minor role,No role at all,Major role,Mostly have themselves to blame,Not a reason,Not sure,Major reason,Major reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,No one,Yes,Several times a week,No, ,No, ,Never,Never,Never,Never,Not Lonely,4,Very dissatisfied,Very satisfied,Somewhat satisfied,Less than that,A few times a year,A few times a year,Every day,Less than that,A few times a month,Nothing at all,More of a public health problem,Minor role,Major role,Major role,No role at all,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A lot,No, ,Yes,About once a week,No, ,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,Every day,Every day,A lot,More of a public health problem,Not sure,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not a reason,Minor reason,Major reason,Major reason,Minor reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,Engaging in conversations with other people,Strengthened,Better,More satisfied,More satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,About once a week,No, ,No, ,"Rarely, or",Never,Never,Never,Not Lonely,4,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,A few times a month,Every day,Only a little,More of an individual problem,Minor role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,"Rarely, or",Never,Never,Never,Not Lonely,8,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Never (Vol.),A few times a month,Every day,Never (Vol.),A lot,More of an individual problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Not a reason,Major reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,15,Very dissatisfied,Very satisfied,Somewhat satisfied,Every day,Every day,A few times a month,A few times a week,A few times a month,A few times a week,Only a little,More of an individual problem,No role at all,Major role,Major role,Major role,Mostly have themselves to blame,Not a reason,Minor reason,Minor reason,Minor reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Just a few,Yes,About once a week,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,4,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a month,A few times a month,A few times a week,Less than that,A few times a week,Only a little,More of a public health problem,No role at all,Minor role,No role at all,Minor role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,About once a week,Never,Never,"Rarely, or",Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a week,A few times a month,A few times a year,A few times a month,Some,More of a public health problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Major reason,Not a reason,Major reason,Minor reason,Minor reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Strengthened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Often,Lonely,No one,Very dissatisfied,Very satisfied,Somewhat satisfied,Every day,A few times a week,Never (Vol.),A few times a week,Never (Vol.),A few times a month,Not sure,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Harder,Isn't really a problem,Due to moving/moved away from home,Loneliness comes and goes,More than ten year,Very negative,Very negative,Somewhat positive,Somewhat negative,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Almost always,Never,Almost always,Sometimes,No, , , , , , ,Major reason,Minor reason,Minor reason,Major reason,Major reason,Major reason,No,No
Somewhat happy,Very satisfied,Somewhat dissatisfied,Very dissatisfied,Very dissatisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Somewhat dissatisfied,Very satisfied,Very dissatisfied,Every day,Less than that,Never (Vol.),Less than that,Less than that,Never (Vol.),Only a little,More of an individual problem,Minor role,Major role,No role at all,Minor role,Due to factors and circumstances beyond their control,Not a reason,Minor reason,Minor reason,Major reason,Not a reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,"Rarely, or","Rarely, or",Not Lonely,3,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a week,A few times a week,A few times a month,A few times a week,A few times a week,Nothing at all,More of a public health problem,No role at all,Minor role,Minor role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Minor reason,Major reason,Minor reason,Not a reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,3,Very satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Less than that,A few times a month,A few times a month,A few times a year,Nothing at all,More of an individual problem,No role at all,Major role,No role at all,No role at all,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Minor reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Weakened,No impact (Vol.),Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,No one,No, ,No, ,No, ,Sometimes,Sometimes,Always,Always,Lonely,No one,Somewhat dissatisfied,Somewhat dissatisfied,Very dissatisfied,A few times a month,A few times a month,Never (Vol.),A few times a month,A few times a week,Never (Vol.),Only a little,Not sure,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not sure,Minor reason,Minor reason,Minor reason,Not a reason,No,No, , , , , , , ,Not sure,Harder,Minor problem,Physical/health problems,Continually lonely,More than ten year,Very positive,Very positive,Very positive,Very positive,Sometimes,Sometimes,Sometimes,Almost always,Sometimes,Sometimes,Almost always,Never,Never,Rarely,Yes,Yes,Yes,Yes,Yes,Yes,Not at all helpful, , , , , , ,No,No
Not too happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A lot,No, ,No, ,Yes,Several times a week,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,10,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A few times a week,A few times a week,A few times a week,A few times a week,A few times a month,A few times a year,Some,More of a public health problem,Major role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Minor reason,Major reason,Yes,No, , , , , ,More satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Somewhat dissatisfied,Very dissatisfied,Somewhat dissatisfied,Very dissatisfied,No one,No, ,No, ,No, ,Often,Sometimes,Often,Often,Lonely,2,Somewhat dissatisfied,Very dissatisfied,Somewhat dissatisfied,A few times a month,A few times a year,Less than that,A few times a year,A few times a month,A few times a week,A lot,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Harder,Major problem,"Death/loss of other family member (child, sibling, etc.)",Continually lonely,One to two years,Very negative,Very negative,Very negative,Very negative,Rarely,Never,Rarely,Sometimes,Almost always,Almost always,Sometimes,Rarely,Sometimes,Never,Yes,Yes,Yes,No,No,No,Very helpful, , , , , , ,No,No
Somewhat happy,Declined to answer,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Once or twice a month,No, ,Sometimes,Sometimes,"Rarely, or",Sometimes,Not Lonely,1,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,A few times a week,A few times a month,A few times a week,A few times a month,A few times a month,A few times a month,A lot,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Engaging in conversations with other people,Strengthened,Declined to answer,Less satisfied,Less satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,"Rarely, or",Sometimes,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,A few times a month,Every day,A few times a month,A few times a month,A few times a week,A few times a month,A lot,More of an individual problem,Minor role,Major role,Major role,Major role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,Several times a week,Yes,Once or twice a month,"Rarely, or",Sometimes,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Never (Vol.),Every day,Every day,Never (Vol.),Some,Not sure,Not sure,Minor role,Minor role,Not sure,Both equally/It depends (Vol.),Minor reason,Not sure,Not sure,Not sure,Not sure,No,No, , , , , , , ,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Never,"Rarely, or",Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,Yes,Several times a week,No, ,Yes,Once or twice a month,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,3,Somewhat satisfied,Very satisfied,Somewhat satisfied,Every day,A few times a month,A few times a month,A few times a month,A few times a month,A few times a year,Only a little,More of a public health problem,Minor role,Major role,Minor role,Minor role,Both equally/It depends (Vol.),Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,No, ,No, ,No, ,"Rarely, or",Never,Sometimes,Sometimes,Not Lonely,3,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Less than that,A few times a week,A few times a week,A few times a month,Every day,A few times a week,Only a little,Not sure,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,Less than half an hour,An equal mix of both,Strengthened,Worse,Equally satisfied,More satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,3,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a year,A few times a month,A few times a week,A few times a week,A few times a month,A few times a week,Nothing at all,More of an individual problem,No role at all,Major role,Not sure,No role at all,Not sure,Not a reason,Not sure,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,Less than half an hour,An equal mix of both,Both/Neither (Vol.),Never have feelings of loneliness (Vol.),Equally satisfied,Less satisfied,Not sure,Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,Yes,Several times a week,Yes,Several times a week,No, ,Sometimes,Sometimes,"Rarely, or",Never,Not Lonely,10,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Every day,A few times a week,Every day,Every day,Every day,Every day,Some,More of an individual problem,No role at all,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Better,Less satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A fair amount,No, ,No, ,Yes,A few times a year,"Rarely, or",Never,"Rarely, or",Sometimes,Not Lonely,12,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,A few times a week,A few times a week,A few times a month,Every day,Only a little,More of a public health problem,No role at all,Minor role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Not a reason,Major reason,Major reason,Minor reason,Yes,Yes,A few times a week,Less than half an hour,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A lot,Yes,About once a week,No, ,Yes,A few times a year,Sometimes,Sometimes,Often,Sometimes,Lonely,6,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Every day,A few times a month,A few times a week,Every day,A lot,More of a public health problem,Minor role,Major role,Major role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference,Minor problem,Other,Loneliness comes and goes,More than ten year,No impact,Somewhat negative,Somewhat negative,Somewhat negative,Sometimes,Rarely,Never,Sometimes,Rarely,Almost always,Sometimes,Sometimes,Never,Rarely,Yes,No,Yes,Yes,Yes,No,Very helpful, , , , , , ,No,Yes
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Sometimes,Always,Never,Never,Lonely,5,Very satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Less than that,A few times a week,A few times a week,Less than that,Nothing at all,More of an individual problem,Minor role,Major role,No role at all,Major role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Minor reason,Not a reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,Less than 6 months,No impact,Somewhat negative,No impact,No impact,Almost always,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Almost always,Sometimes,Yes,No,Yes,Yes,No,No,Very helpful, , , , , , ,No,No
Very happy,Very satisfied,Somewhat satisfied,Declined to answer,Somewhat satisfied,Just a few,No, ,No, ,No, ,Never,"Rarely, or","Rarely, or","Rarely, or",Not Lonely,5,Very satisfied,Somewhat dissatisfied,Very satisfied,Every day,A few times a month,Every day,A few times a week,Less than that,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,A lot,No, ,Yes,Several times a week,Yes,Several times a week,Often,Often,Sometimes,Sometimes,Lonely,2,Very dissatisfied,Somewhat dissatisfied,Very satisfied,Every day,A few times a week,Every day,A few times a week,A few times a month,A few times a week,Some,More of a public health problem,Not sure,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder,Major problem,Physical/health problems,Continually lonely,Three to five years,Very negative,Somewhat negative,Very negative,Very negative,Almost always,Sometimes,Never,Sometimes,Sometimes,Almost always,Never,Never,Never,Sometimes,No, , , , , , ,Major reason,Not a reason,Not a reason,Minor reason,Major reason,Major reason,No,Yes
Not sure,Very satisfied,Somewhat satisfied,Very dissatisfied,Very satisfied,Just a few,No, ,Yes,About once a week,No, ,Never,Never,Never,Never,Not Lonely,12,Not sure,Very satisfied,Very satisfied,A few times a year,A few times a month,A few times a week,A few times a month,A few times a month,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Minor role,Not sure,Not a reason,Major reason,Minor reason,Minor reason,Major reason,Yes,No, , , , , ,Not sure,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Several times a week,No, ,Often,Often,Sometimes,"Rarely, or",Lonely,3,Very dissatisfied,Very dissatisfied,Somewhat satisfied,A few times a year,A few times a month,A few times a week,A few times a week,A few times a month,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Minor reason,Not a reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Worse,Equally satisfied,Less satisfied,"No, would not recommend",Harder,Minor problem,Socially awkward/don't communicate with others well,Loneliness comes and goes,Three to five years,Somewhat negative,No impact,Somewhat negative,Very negative,Never,Never,Never,Rarely,Rarely,Sometimes,Almost always,Rarely,Never,Sometimes,Yes,No,Yes,No,Yes,No,Not too helpful, , , , , , ,No,No
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A fair amount,No, ,Yes,Several times a week,Yes,About once a week,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,8,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A few times a month,A few times a month,A few times a month,A few times a week,A few times a week,Every day,Some,More of a public health problem,Minor role,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,More satisfied,Less satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,"Rarely, or","Rarely, or",Never,Never,Not Lonely,4,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,Every day,A few times a week,A few times a year,Every day,Some,More of a public health problem,Minor role,Minor role,Minor role,Minor role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Not a reason,Not a reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),More satisfied,Equally satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,10,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a month,A few times a week,Every day,A few times a month,Every day,Some,More of an individual problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Minor reason,Minor reason,Minor reason,Major reason,Minor reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A lot,Yes,Several times a week,No, ,No, ,Never,Never,Never,Never,Not Lonely,8,Not applicable (Vol.),Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a week,Every day,A few times a year,Every day,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Not a reason,Minor reason,Minor reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,2,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a month,Never (Vol.),Every day,A few times a month,Never (Vol.),A lot,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Major reason,Minor reason,Minor reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
